words,key_hold_duration,interval
67,90 ms,-279
79,0 ms,-77
77,98 ms,-265
80,140 ms,-200
79,135 ms,-177
83,143 ms,-148
69,73 ms,-250
68,105 ms,-137
32,71 ms,-170
84,86 ms,-130
72,0 ms,-51
69,87 ms,-188
73,0 ms,-30
82,112 ms,-183
32,79 ms,-213
70,98 ms,-207
79,94 ms,-100
87,99 ms,-215
76,0 ms,-81
190,160 ms,-771
32,72 ms,-289
65,244 ms,-365
78,79 ms,-172
32,65 ms,-445
73,82 ms,-218
78,92 ms,-131
84,0 ms,-80
69,139 ms,-120
82,0 ms,-118
86,105 ms,-331
73,108 ms,-247
69,105 ms,-115
87,109 ms,-108
69,96 ms,-906
82,109 ms,-642
32,95 ms,-139
73,113 ms,-226
83,119 ms,-140
32,91 ms,-158
65,127 ms,-93
84,92 ms,-283
85,108 ms,-112
83,77 ms,-198
8,50 ms,-390
8,43 ms,-139
8,61 ms,-122
32,78 ms,-197
84,108 ms,-127
85,116 ms,-164
83,72 ms,-161
83,45 ms,-147
65,104 ms,-214
76,121 ms,-107
32,67 ms,-421
66,111 ms,-172
79,89 ms,-214
77,89 ms,-200
66,95 ms,-132
190,149 ms,-467
32,88 ms,-307
86,507 ms,-691
65,131 ms,-289
78,0 ms,-96
87,114 ms,-371
65,112 ms,-328
82,85 ms,-377
68,122 ms,-196
32,84 ms,-229
77,113 ms,-245
65,0 ms,-96
82,88 ms,-207
65,152 ms,-147
67,120 ms,-213
65,108 ms,-148
83,131 ms,-221
32,97 ms,-179
83,55 ms,-317
72,0 ms,-18
79,171 ms,-144
87,8 ms,-63
32,0 ms,-110
85,100 ms,-134
83,0 ms,-48
32,100 ms,-146
72,0 ms,-75
79,185 ms,-105
87,26 ms,-101
32,0 ms,-86
83,122 ms,-242
67,113 ms,-190
65,152 ms,-129
82,93 ms,-206
70,98 ms,-175
83,141 ms,-148
32,99 ms,-157
67,100 ms,-165
65,0 ms,-77
78,117 ms,-122
32,110 ms,-133
66,103 ms,-159
69,0 ms,-64
32,98 ms,-108
68,105 ms,-127
79,0 ms,-81
85,102 ms,-232
66,49 ms,-159
84,100 ms,-101
83,140 ms,-218
190,166 ms,-357
32,92 ms,-209
70,269 ms,-361
69,127 ms,-201
81,67 ms,-192
8,108 ms,-536
87,0 ms,-77
32,88 ms,-139
67,132 ms,-173
65,98 ms,-134
78,95 ms,-107
32,96 ms,-199
78,81 ms,-147
65,114 ms,-92
77,90 ms,-117
69,113 ms,-109
32,0 ms,-92
65,134 ms,-145
78,95 ms,-158
32,112 ms,-184
85,110 ms,-425
78,79 ms,-208
71,96 ms,-125
85,102 ms,-265
76,127 ms,-180
69,0 ms,-113
68,122 ms,-116
32,83 ms,-133
80,98 ms,-85
85,88 ms,-205
78,99 ms,-137
67,104 ms,-126
72,88 ms,-106
32,77 ms,-105
84,75 ms,-128
72,89 ms,-103
65,0 ms,-72
84,81 ms,-155
32,84 ms,-177
73,70 ms,-104
83,113 ms,-123
78,93 ms,-126
222,126 ms,-196
84,88 ms,-169
32,84 ms,-143
80,104 ms,-127
73,96 ms,-199
71,73 ms,-128
