words,key_hold_duration,interval
65,88 ms,
32,59 ms,-177
67,54 ms,-131
79,65 ms,-55
85,65 ms,-139
71,0 ms,-54
72,78 ms,-93
32,59 ms,-79
73,80 ms,-136
83,77 ms,-88
32,0 ms,-45
65,71 ms,-102
32,0 ms,-54
84,60 ms,-232
65,84 ms,-110
76,0 ms,-60
75,74 ms,-121
32,0 ms,-45
70,68 ms,-88
82,68 ms,-123
79,0 ms,-25
77,67 ms,-102
32,24 ms,-43
84,0 ms,-41
72,57 ms,-95
69,36 ms,-48
32,0 ms,-36
82,69 ms,-105
73,58 ms,-70
71,55 ms,-97
72,0 ms,-44
84,65 ms,-97
32,0 ms,-60
80,56 ms,-65
69,82 ms,-101
82,0 ms,-49
83,90 ms,-119
80,63 ms,-98
69,55 ms,-87
67,67 ms,-144
84,46 ms,-150
73,0 ms,-22
86,66 ms,-116
69,0 ms,-33
190,55 ms,-90
32,71 ms,-93
65,116 ms,-135
8,57 ms,-276
65,86 ms,-64
32,70 ms,-125
68,60 ms,-145
69,48 ms,-140
83,77 ms,-84
71,52 ms,-106
73,0 ms,-18
78,47 ms,-223
69,57 ms,-171
68,82 ms,-130
32,0 ms,-57
84,68 ms,-115
82,87 ms,-364
65,71 ms,-101
67,79 ms,-113
84,54 ms,-166
79,37 ms,-71
82,45 ms,-134
222,55 ms,-80
83,91 ms,-176
32,0 ms,-64
84,53 ms,-372
82,86 ms,-124
65,0 ms,-55
89,59 ms,-121
32,0 ms,-48
67,59 ms,-137
79,0 ms,-48
77,56 ms,-99
69,0 ms,-49
83,73 ms,-101
32,0 ms,-60
87,57 ms,-98
73,0 ms,-45
84,73 ms,-79
72,0 ms,-38
32,59 ms,-105
73,68 ms,-71
84,26 ms,-62
32,0 ms,-54
84,61 ms,-86
72,0 ms,-31
69,80 ms,-136
32,0 ms,-51
84,69 ms,-145
72,59 ms,-74
79,59 ms,-113
85,61 ms,-109
71,0 ms,-54
72,76 ms,-96
84,8 ms,-67
32,0 ms,-78
84,69 ms,-102
72,0 ms,-37
65,87 ms,-68
84,27 ms,-61
32,0 ms,-58
84,71 ms,-77
72,0 ms,-55
69,72 ms,-106
32,0 ms,-52
83,84 ms,-123
78,111 ms,-239
85,60 ms,-160
70,52 ms,-71
70,65 ms,-104
76,65 ms,-65
89,87 ms,-111
32,0 ms,-63
70,84 ms,-307
76,89 ms,-113
65,73 ms,-89
88,122 ms,-260
32,0 ms,-104
73,65 ms,-135
83,82 ms,-86
32,0 ms,-54
65,70 ms,-112
32,0 ms,-53
82,83 ms,-169
65,34 ms,-71
73,0 ms,-60
78,66 ms,-89
66,69 ms,-111
79,54 ms,-103
87,76 ms,-65
190,70 ms,-98
32,71 ms,-84
84,111 ms,-128
72,57 ms,-80
69,97 ms,-82
73,0 ms,-72
82,100 ms,-94
32,0 ms,-95
72,61 ms,-393
69,108 ms,-165
65,12 ms,-93
76,0 ms,-77
84,78 ms,-91
72,57 ms,-90
32,63 ms,-86
87,33 ms,-39
65,52 ms,-63
83,0 ms,-87
188,53 ms,-410
32,56 ms,-112
79,22 ms,-94
78,69 ms,-92
32,20 ms,-145
8,36 ms,-123
8,45 ms,-105
8,69 ms,-117
73,51 ms,-300
78,72 ms,-112
32,11 ms,-64
84,0 ms,-49
72,60 ms,-75
73,64 ms,-125
83,70 ms,-115
32,0 ms,-45
77,62 ms,-62
79,44 ms,-141
77,75 ms,-109
69,0 ms,-43
78,65 ms,-121
84,0 ms,-51
188,63 ms,-135
32,80 ms,-107
65,0 ms,-67
78,80 ms,-116
32,55 ms,-119
69,88 ms,-96
65,0 ms,-55
82,69 ms,-118
84,75 ms,-145
72,66 ms,-81
89,67 ms,-235
32,48 ms,-406
80,58 ms,-170
65,84 ms,-78
83,0 ms,-66
83,98 ms,-120
66,72 ms,-141
79,52 ms,-80
79,57 ms,-104
75,73 ms,-90
190,84 ms,-155
32,61 ms,-89
84,202 ms,-283
72,56 ms,-71
85,34 ms,-106
73,27 ms,-17
83,32 ms,-18
32,0 ms,-66
67,73 ms,-156
8,40 ms,-185
8,50 ms,-107
8,46 ms,-119
8,68 ms,-115
73,73 ms,-121
83,83 ms,-102
32,0 ms,-61
8,42 ms,-177
8,61 ms,-121
8,79 ms,-126
83,81 ms,-100
32,0 ms,-64
67,84 ms,-90
79,68 ms,-85
85,54 ms,-124
