words,key_hold_duration,interval
72,72 ms,-183
79,0 ms,-58
83,109 ms,-95
69,0 ms,-80
190,86 ms,-178
32,50 ms,-131
69,420 ms,-408
88,72 ms,-209
84,81 ms,-171
69,0 ms,-68
78,59 ms,-78
68,89 ms,-82
73,52 ms,-91
78,75 ms,-77
71,14 ms,-52
32,0 ms,-54
84,66 ms,-91
72,0 ms,-40
73,55 ms,-119
83,32 ms,-43
32,0 ms,-50
76,57 ms,-81
79,56 ms,-124
71,57 ms,-68
73,63 ms,-96
67,65 ms,-81
190,76 ms,-122
8,40 ms,-218
188,64 ms,-118
32,53 ms,-93
84,54 ms,-107
72,55 ms,-60
69,92 ms,-88
32,0 ms,-56
71,59 ms,-149
85,60 ms,-414
73,63 ms,-147
68,103 ms,-64
69,0 ms,-70
83,103 ms,-121
32,70 ms,-103
67,60 ms,-213
79,38 ms,-62
85,47 ms,-118
76,70 ms,-138
68,12 ms,-40
32,0 ms,-75
66,75 ms,-146
69,0 ms,-38
32,99 ms,-149
83,37 ms,-60
65,11 ms,-107
73,3 ms,-82
68,27 ms,-58
32,0 ms,-61
84,68 ms,-112
79,0 ms,-54
32,77 ms,-59
82,81 ms,-106
69,0 ms,-65
83,79 ms,-155
69,79 ms,-134
77,61 ms,-95
66,70 ms,-88
76,69 ms,-102
69,18 ms,-60
32,0 ms,-72
82,55 ms,-306
69,79 ms,-190
68,76 ms,-233
68,69 ms,-138
69,54 ms,-149
83,86 ms,-64
84,71 ms,-139
32,0 ms,-52
77,69 ms,-202
79,63 ms,-145
78,64 ms,-158
75,71 ms,-121
73,53 ms,-135
69,0 ms,-27
83,83 ms,-112
188,82 ms,-117
8,48 ms,-228
8,53 ms,-130
8,78 ms,-128
69,53 ms,-173
8,52 ms,-202
8,89 ms,-116
69,59 ms,-107
73,72 ms,-66
69,56 ms,-224
83,87 ms,-93
190,74 ms,-102
32,65 ms,-133
70,222 ms,-254
82,64 ms,-172
65,20 ms,-46
77,9 ms,-59
69,9 ms,-71
32,0 ms,-71
8,60 ms,-254
68,124 ms,-89
32,0 ms,-102
73,47 ms,-178
78,47 ms,-112
32,72 ms,-52
65,83 ms,-86
32,59 ms,-82
68,78 ms,-225
73,29 ms,-116
70,57 ms,-53
70,70 ms,-118
69,91 ms,-112
82,13 ms,-71
69,0 ms,-75
78,73 ms,-92
84,78 ms,-78
32,0 ms,-44
87,90 ms,-147
65,0 ms,-54
89,64 ms,-147
188,65 ms,-99
32,66 ms,-91
65,79 ms,-96
32,0 ms,-63
8,42 ms,-261
78,75 ms,-118
32,54 ms,-75
65,68 ms,-75
68,69 ms,-87
68,62 ms,-147
76,46 ms,-68
69,77 ms,-87
32,0 ms,-61
72,56 ms,-235
69,59 ms,-106
77,0 ms,-49
80,62 ms,-172
32,56 ms,-81
73,56 ms,-100
83,95 ms,-57
32,24 ms,-78
65,0 ms,-50
32,68 ms,-98
86,54 ms,-160
65,18 ms,-24
78,0 ms,-58
