words,key_hold_duration,interval
89,67 ms,-155
188,85 ms,-68
32,59 ms,-145
65,50 ms,-176
78,70 ms,-89
32,53 ms,-107
69,54 ms,-102
88,73 ms,-175
72,77 ms,-114
65,0 ms,-64
67,68 ms,-154
8,44 ms,-196
8,46 ms,-131
8,57 ms,-120
67,66 ms,-61
72,56 ms,-83
65,57 ms,-70
78,63 ms,-86
71,8 ms,-49
69,0 ms,-44
190,69 ms,-121
32,71 ms,-125
70,153 ms,-624
69,112 ms,-279
87,29 ms,-86
32,0 ms,-99
67,72 ms,-176
65,41 ms,-31
78,0 ms,-42
32,70 ms,-108
78,64 ms,-262
65,47 ms,-103
77,81 ms,-80
69,19 ms,-63
32,0 ms,-59
65,94 ms,-69
32,0 ms,-81
84,79 ms,-131
85,67 ms,-110
84,66 ms,-94
84,72 ms,-124
73,70 ms,-83
32,61 ms,-190
67,65 ms,-136
72,0 ms,-57
65,57 ms,-89
78,60 ms,-107
78,50 ms,-252
69,76 ms,-112
76,0 ms,-61
32,77 ms,-107
84,50 ms,-170
72,70 ms,-54
65,4 ms,-49
84,29 ms,-68
32,0 ms,-64
73,71 ms,-116
83,90 ms,-94
78,61 ms,-139
222,104 ms,-428
84,105 ms,-334
32,0 ms,-59
65,63 ms,-238
32,0 ms,-54
70,62 ms,-307
79,56 ms,-76
79,57 ms,-133
84,0 ms,-37
69,71 ms,-94
76,65 ms,-89
87,40 ms,-89
8,62 ms,-260
8,61 ms,-146
8,66 ms,-135
76,60 ms,-416
69,61 ms,-81
83,79 ms,-106
83,97 ms,-136
32,0 ms,-77
79,71 ms,-291
80,77 ms,-167
69,17 ms,-63
82,0 ms,-74
65,93 ms,-92
84,76 ms,-94
73,0 ms,-65
79,62 ms,-124
78,80 ms,-106
32,66 ms,-180
8,46 ms,-351
190,92 ms,-105
32,78 ms,-158
69,55 ms,-211
88,87 ms,-172
84,70 ms,-181
69,71 ms,-71
78,0 ms,-67
68,75 ms,-86
73,0 ms,-36
78,94 ms,-77
71,5 ms,-74
32,0 ms,-67
84,53 ms,-74
72,0 ms,-20
73,68 ms,-127
83,87 ms,-86
32,7 ms,-36
76,0 ms,-67
79,60 ms,-134
71,0 ms,-55
73,48 ms,-216
67,63 ms,-64
188,54 ms,-137
32,71 ms,-116
65,80 ms,-363
32,0 ms,-62
78,62 ms,-62
8,44 ms,-190
8,49 ms,-105
78,64 ms,-129
32,47 ms,-65
79,60 ms,-148
65,74 ms,-219
84,61 ms,-135
77,54 ms,-98
69,64 ms,-71
65,15 ms,-44
76,0 ms,-73
32,65 ms,-189
73,59 ms,-150
83,5 ms,-43
32,0 ms,-73
84,51 ms,-71
72,72 ms,-56
69,83 ms,-87
32,0 ms,-46
82,64 ms,-103
79,85 ms,-177
79,75 ms,-371
83,60 ms,-96
84,57 ms,-121
69,103 ms,-68
82,37 ms,-82
32,0 ms,-68
79,76 ms,-158
70,67 ms,-76
32,24 ms,-54
65,9 ms,-67
32,0 ms,-84
83,56 ms,-400
72,79 ms,-86
65,60 ms,-89
75,83 ms,-229
69,0 ms,-78
190,95 ms,-182
32,67 ms,-158
84,58 ms,-159
72,73 ms,-68
79,78 ms,-140
83,14 ms,-52
69,6 ms,-79
32,0 ms,-50
83,66 ms,-186
84,69 ms,-139
69,7 ms,-64
80,0 ms,-74
189,45 ms,-214
83,70 ms,-465
79,58 ms,-89
78,71 ms,-137
83,91 ms,-72
32,0 ms,-69
65,87 ms,-176
82,15 ms,-72
69,28 ms,-79
32,0 ms,-78
78,0 ms,-26
79,68 ms,-117
84,0 ms,-49
72,62 ms,-94
73,77 ms,-105
78,70 ms,-90
71,13 ms,-55
32,10 ms,-67
77,0 ms,-52
82,78 ms,-83
79,0 ms,-19
69,0 ms,-34
32,56 ms,-90
8,54 ms,-318
8,57 ms,-149
8,49 ms,-139
8,91 ms,-107
79,79 ms,-200
82,29 ms,-75
69,29 ms,-45
32,0 ms,-53
84,55 ms,-87
72,0 ms,-38
65,86 ms,-77
78,0 ms,-83
32,71 ms,-72
77,87 ms,-96
65,64 ms,-91
84,0 ms,-59
67,60 ms,-141
72,0 ms,-28
69,22 ms,-153
83,88 ms,-42
