words,key_hold_duration,interval
32,12 ms,-85
76,0 ms,-89
87,32 ms,-305
69,0 ms,-15
8,51 ms,-260
8,85 ms,-120
69,0 ms,-74
83,70 ms,-102
83,87 ms,-139
32,0 ms,-80
84,56 ms,-85
72,64 ms,-57
65,0 ms,-58
78,69 ms,-104
32,68 ms,-123
78,72 ms,-186
69,85 ms,-72
87,0 ms,-43
66,66 ms,-165
79,46 ms,-88
82,64 ms,-66
78,56 ms,-129
190,60 ms,-171
32,61 ms,-74
87,112 ms,-187
69,98 ms,-222
32,0 ms,-77
75,37 ms,-137
78,72 ms,-102
79,68 ms,-134
87,17 ms,-60
32,0 ms,-76
84,70 ms,-109
72,68 ms,-70
84,90 ms,-128
8,58 ms,-340
8,49 ms,-150
74,77 ms,-720
8,70 ms,-336
72,71 ms,-164
65,79 ms,-80
84,33 ms,-54
32,0 ms,-93
84,78 ms,-155
72,34 ms,-102
69,100 ms,-37
32,0 ms,-83
83,83 ms,-138
73,64 ms,-84
90,79 ms,-89
69,49 ms,-124
83,114 ms,-115
32,0 ms,-85
67,72 ms,-191
79,0 ms,-54
85,49 ms,-127
76,84 ms,-137
68,7 ms,-32
32,0 ms,-71
66,67 ms,-142
69,0 ms,-46
32,116 ms,-161
83,52 ms,-98
65,5 ms,-113
73,19 ms,-88
68,41 ms,-43
32,0 ms,-71
84,52 ms,-127
79,63 ms,-69
32,0 ms,-31
82,89 ms,-176
69,76 ms,-121
83,113 ms,-169
69,0 ms,-92
77,61 ms,-108
66,64 ms,-94
76,65 ms,-95
69,75 ms,-67
32,75 ms,-99
83,61 ms,-251
76,71 ms,-122
69,59 ms,-86
69,72 ms,-121
80,51 ms,-76
87,146 ms,-74
65,12 ms,-100
76,0 ms,-72
75,73 ms,-144
32,76 ms,-73
67,70 ms,-206
89,33 ms,-198
67,83 ms,-145
76,0 ms,-54
69,58 ms,-111
83,73 ms,-152
190,0 ms,-62
32,64 ms,-135
66,160 ms,-340
69,68 ms,-124
70,68 ms,-142
79,46 ms,-91
82,87 ms,-61
69,30 ms,-54
32,0 ms,-71
83,94 ms,-133
69,101 ms,-184
65,10 ms,-82
79,31 ms,-84
83,0 ms,-35
78,61 ms,-96
188,55 ms,-189
83,83 ms,-76
32,0 ms,-75
8,51 ms,-205
8,55 ms,-126
8,82 ms,-106
83,68 ms,-86
188,63 ms,-499
32,59 ms,-182
83,202 ms,-315
8,46 ms,-309
83,89 ms,-64
85,0 ms,-79
80,59 ms,-289
80,52 ms,-118
76,73 ms,-89
73,42 ms,-158
69,0 ms,-36
83,80 ms,-123
32,73 ms,-85
87,108 ms,-89
69,0 ms,-76
82,93 ms,-158
69,23 ms,-69
32,0 ms,-85
79,48 ms,-115
78,55 ms,-120
76,62 ms,-119
89,77 ms,-70
32,0 ms,-52
70,66 ms,-148
73,41 ms,-163
71,61 ms,-57
72,55 ms,-95
84,0 ms,-51
69,81 ms,-89
82,70 ms,-138
83,105 ms,-150
190,72 ms,-419
32,66 ms,-132
84,79 ms,-189
72,58 ms,-209
69,66 ms,-91
73,54 ms,-103
82,99 ms,-56
32,0 ms,-81
