,ms,start letter,end letter
348,551465,space,space
349,896312,space,o
350,948668,o,space
351,31886,space,space
352,264572,space,N
353,351795,N,shift
354,535960,shift,a
355,608254,a,u
356,703800,u,t
357,28503,t,backspace
358,172566,backspace,backspace
359,348298,backspace,t
360,432046,t,u
361,548771,u,r
362,392457,r,'
363,716292,',e
364,859942,e,space
365,948793,space,space
366,248448,space,g
367,472108,g,backspace
368,536294,backspace,G
369,620198,G,g
370,36188,g,o
371,83529,o,space
372,164136,space,space
373,548368,space,e
374,768240,e,n
375,952252,n,t
376,83981,t,i
377,240179,i,t
378,328377,t,l
379,419906,l,space
380,487496,space,space
381,655733,space,t
382,736012,t,h
383,824434,h,e
384,899922,e,","
385,944222,",",","
386,500027,",",backspace
387,219813,backspace,backspace
388,455605,backspace,m
389,175801,m,","
390,687676,",",a
391,763827,a,a
392,149047,a,space
393,452151,space,e
394,544289,e,e
395,756515,e,c
396,940503,c,e
397,40562,e,n
398,136466,n,space
399,231750,space,space
400,464404,space,e
401,523666,e,e
402,748646,e,s
403,844614,s,e
404,912507,e,e
405,96201,e,c
406,275308,c,space
407,347876,space,t
408,408141,t,o
409,472421,o,o
410,515860,o,t
411,580033,t,t
412,679862,t,e
413,743906,e,space
414,832574,space,space
415,163631,space,o
416,323480,o,p
417,488058,p,i
418,639946,i,n
419,760365,n,i
420,996561,i,o
421,164072,o,n
422,296340,n,space
423,376196,space,space
424,560284,space,f
425,620458,f,space
426,687982,space,m
427,771985,m,m
428,851980,m,a
429,939979,a,n
430,115207,n,k
431,304139,k,i
432,388140,i,d
433,435836,d,space
434,523678,space,space
435,663474,space,r
436,812228,r,q
437,872719,q,u
438,935793,u,u
439,55962,u,r
440,144253,r,e
441,207730,e,e
442,355936,e,space
443,427910,space,space
444,532297,space,h
445,600173,h,h
446,748087,h,t
447,836366,t,space
448,915661,space,space
449,104552,space,h
450,167956,h,e
451,251481,e,e
452,348465,e,space
453,423465,space,space
454,511986,space,h
455,576113,h,h
456,704024,h,o
457,824242,o,u
458,984293,u,d
459,15803,d,space
460,96195,space,space
461,287852,space,d
462,439864,d,e
463,587933,e,c
464,684527,c,l
465,908592,l,r
466,992339,r,e
467,68265,e,space
468,172178,space,space
469,291813,space,t
470,375562,t,h
471,419437,h,space
472,512181,space,space
473,636045,space,a
474,711507,a,u
475,779507,u,u
476,863988,u,e
477,932610,e,e
478,51545,e,space
479,128074,space,space
480,320230,space,h
481,396021,h,h
482,535894,h,i
483,680042,i,h
484,768099,h,c
485,932002,c,backspace
486,67748,backspace,backspace
487,180028,backspace,c
488,268095,c,h
489,532192,h,space
490,659970,space,i
491,823837,i,m
492,972046,m,p
493,88265,p,e
494,175512,e,l
495,263610,l,space
496,356505,space,h
497,423874,h,h
498,544654,h,m
